date,EUR,USD,GBP
2013.05,4.1504,3.1750305997552024,4.915788226933555
2013.06,4.2792,3.2901737659541754,5.012827271129854
2013.07,4.3329,3.323540691876966,5.060321167883212
2013.08,4.2346,3.1993049259595043,4.871836171191902
2013.09,4.2633,3.2212315829240654,4.9924468645705256
2013.10,4.2308,3.121440165264867,5.069862192929898
2013.11,4.1875,3.1007034431691967,4.947716665682046
2013.12,4.206,3.0901476746748955,5.050735514860403
2014.01,4.1543,3.012326879849177,4.982967494302507
2014.02,4.2488,3.1435335898194734,5.172946977536982
2014.03,4.1676,3.0171577499457034,5.043993948562783
2014.04,4.1779,3.0296591733139957,5.038470815243608
2014.05,4.2024,3.0342238267148014,5.106196840826246
2014.06,4.1411,3.0433600352759607,5.092977493543229
2014.07,4.1582,3.0378433664523667,5.210124044605939
2014.08,4.1888,3.127136991414707,5.261650546413766
2014.09,4.2082,3.2042945252417576,5.325150268902246
2014.10,4.1815,3.317860826787273,5.3732973528655865
2014.11,4.2177,3.367694027467263,5.378004462862608
2014.12,4.1782,3.35087015799182,5.2708464740759435
2015.01,4.2732,3.5196441808747223,5.486198485043009
2015.02,4.2075,3.721804511278195,5.601784050059911
2015.03,4.1524,3.694306049822064,5.70541357515801
2015.04,4.0608,3.7757322175732226,5.574193548387097
2015.05,4.025,3.5889433794025862,5.538736755194717
2015.06,4.1335,3.7769554093567246,5.746958637469587
2015.07,4.1901,3.7748648648648646,5.909456314787392
2015.08,4.1435,3.778152639737394,5.884817497514558
2015.09,4.2375,3.771359914560342,5.78261462882096
2015.10,4.2459,3.806957769210078,5.763404370842948
2015.11,4.2644,3.870745211945176,5.937621832358675
2015.12,4.2679,4.026320754716981,6.065804434337692
2016.01,4.2639,3.9165059244971063,5.809523809523809
2016.02,4.3952,4.038221242190371,5.7755584756898815
2016.03,4.3468,3.9981604120676972,5.587146529562982
2016.04,4.244,3.7123862841147655,5.312304418575541
2016.05,4.3965,3.855564325177584,5.634732457545658
2016.06,4.3978,3.9357436907105785,5.6849970268104135
2016.07,4.3966,3.9484508307139654,5.244661815579148
2016.08,4.351,3.897348620566105,5.146676129642772
2016.09,4.3645,3.915754530773371,5.19274241522903
2016.10,4.3192,3.8699041304542603,5.016317666051125
2016.11,4.3085,3.9079365079365083,4.778037771838577
2016.12,4.4676,4.20400865719394,5.312373659302243
2017.01,4.4103,4.1839483919931695,5.151136443271275
2017.02,4.3186,4.002409638554217,5.055843030742935
2017.03,4.2958,4.078420203170987,5.021390999415546
2017.04,4.2265,3.9533252268263026,4.940212499853891
2017.05,4.2224,3.86312900274474,4.998520237235567
